"Housing Insecurity (Missed Payment and Low Confidence), Household Pulse Survey","","","","","","",""
"Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","","","","","","",""
"","","Total Housing Insecurity (Missed Payment and Low Confidence)","","Percent Housing Insecurity (Missed Payment and Low Confidence)","","",""
"Maine","36 - August 18-30, 2021","34417","22332","5.4","3.5","642102","1,073,016"
"Maryland","36 - August 18-30, 2021","198519","72840","7.6","2.7","2614812","4,585,752"
"Massachusetts","36 - August 18-30, 2021","105294","37919","3.3","1.2","3158142","5,309,617"
"Michigan","36 - August 18-30, 2021","215316","92604","5.4","2.3","3991258","7,631,231"
"Minnesota","36 - August 18-30, 2021","98026","34144","3.8","1.3","2607609","4,250,165"
"Mississippi","36 - August 18-30, 2021","50698","20657","5","1.8","1014537","2,186,321"
"Missouri","36 - August 18-30, 2021","117780","46454","4.5","1.8","2597782","4,638,839"
"Montana","36 - August 18-30, 2021","28087","11392","6.3","2.6","445093","834,511"
"Nebraska","36 - August 18-30, 2021","60112","28571","7.3","3.4","825406","1,420,835"
"Nevada","36 - August 18-30, 2021","91586","36297","5.7","2.2","1609067","2,450,986"
"New Hampshire","36 - August 18-30, 2021","18302","11410","3.2","1.9","579279","1,080,887"
"New Jersey","36 - August 18-30, 2021","175589","70749","4.8","1.9","3628097","6,767,278"
"New Mexico","36 - August 18-30, 2021","52237","17520","5.5","1.8","945490","1,604,259"
"New York","36 - August 18-30, 2021","750528","219509","9.6","2.7","7795075","14,714,964"
"North Carolina","36 - August 18-30, 2021","447701","155266","9.2","3.1","4866550","8,121,448"
"North Dakota","36 - August 18-30, 2021","29392","26123","8.9","7.8","331191","560,525"
"Ohio","36 - August 18-30, 2021","278517","129864","5.3","2.3","5304888","8,833,555"
"Oklahoma","36 - August 18-30, 2021","123833","68604","7.7","4.1","1616617","2,941,764"
"Oregon","36 - August 18-30, 2021","81783","28950","3.9","1.4","2104146","3,326,774"
"Pennsylvania","36 - August 18-30, 2021","251696","95071","4.9","1.8","5124162","9,760,505"
"Rhode Island","36 - August 18-30, 2021","12275","6930","2.6","1.5","464922","815,717"
"South Carolina","36 - August 18-30, 2021","225271","97572","10.6","4.4","2128418","4,033,193"
"South Dakota","36 - August 18-30, 2021","9388","7055","2.6","1.9","363213","648,348"
"Tennessee","36 - August 18-30, 2021","208038","116717","7.2","4","2909043","5,279,261"
"Texas","36 - August 18-30, 2021","915953","242640","7.8","2","11679879","21,688,354"
"Utah","36 - August 18-30, 2021","54183","22769","3.5","1.5","1546973","2,324,002"
"Vermont","36 - August 18-30, 2021","5402","3998","2.1","1.5","263051","485,680"
"Virginia","36 - August 18-30, 2021","133015","57388","3.4","1.5","3882983","6,511,643"
"Washington","36 - August 18-30, 2021","115762","47744","3.1","1.3","3683285","5,950,326"
"West Virginia","36 - August 18-30, 2021","38475","21122","6","3.2","642749","1,377,441"
"Wisconsin","36 - August 18-30, 2021","68765","49930","2.8","2","2425095","4,454,731"
"Wyoming","36 - August 18-30, 2021","15915","9727","6.7","4","236188","438,527"
"Alabama","35 - August 4-16, 2021","160292","58340","8.6","3.1","1868528","3,737,637"
"Alaska","35 - August 4-16, 2021","16048","6583","4.9","2","324267","525,308"
"Arizona","35 - August 4-16, 2021","162357","74281","4.8","2.1","3406734","5,753,909"
"Arkansas","35 - August 4-16, 2021","90214","33662","7.7","2.7","1169489","2,264,877"
"California","35 - August 4-16, 2021","1110732","288597","6","1.5","18615211","29,807,656"
"Colorado","35 - August 4-16, 2021","90497","31584","3","1.1","2988733","4,504,323"
"Connecticut","35 - August 4-16, 2021","42130","17202","2.7","1.1","1541340","2,724,164"
"Delaware","35 - August 4-16, 2021","24288","10528","5.4","2.3","448934","767,878"
"District of Columbia","35 - August 4-16, 2021","12461","7354","3.2","1.9","392988","546,656"
"Florida","35 - August 4-16, 2021","787569","231030","8.7","2.5","9025020","17,254,676"
"Georgia","35 - August 4-16, 2021","192665","66558","4.2","1.5","4570348","8,033,423"
"Hawaii","35 - August 4-16, 2021","28602","15394","4.5","2.4","632653","1,065,941"
"Idaho","35 - August 4-16, 2021","31416","14475","4","1.8","792926","1,382,940"
"Illinois","35 - August 4-16, 2021","276699","129935","5.4","2.5","5137102","9,479,736"
"Indiana","35 - August 4-16, 2021","108173","49705","3.9","1.8","2763218","5,029,256"
"Iowa","35 - August 4-16, 2021","67456","32803","5.4","2.6","1259568","2,349,714"
"Kansas","35 - August 4-16, 2021","56992","23224","4.4","1.8","1284579","2,146,524"
"Kentucky","35 - August 4-16, 2021","132727","49621","7.5","2.8","1775771","3,358,135"
"Louisiana","35 - August 4-16, 2021","171570","72654","9.4","3.8","1833369","3,432,241"
"Maine","35 - August 4-16, 2021","14447","10640","2.4","1.7","604039","1,073,016"
"Maryland","35 - August 4-16, 2021","163061","54144","6","2","2704902","4,585,752"
"Massachusetts","35 - August 4-16, 2021","152050","77249","4.9","2.4","3118146","5,309,617"
"Michigan","35 - August 4-16, 2021","211797","81732","5.3","2","3963822","7,631,231"
"Minnesota","35 - August 4-16, 2021","51853","34105","2.2","1.5","2316567","4,250,165"
"Mississippi","35 - August 4-16, 2021","100831","36550","10.1","3.6","996963","2,186,321"
"Missouri","35 - August 4-16, 2021","135310","62578","5.1","2.3","2667469","4,638,839"
"Montana","35 - August 4-16, 2021","19413","9212","4.1","2","473739","834,511"
"Nebraska","35 - August 4-16, 2021","59413","22043","7.7","2.7","774608","1,420,835"
"Nevada","35 - August 4-16, 2021","74917","34753","4.9","2.2","1521088","2,450,986"
"New Hampshire","35 - August 4-16, 2021","22395","17879","3.7","2.9","610636","1,080,887"
"New Jersey","35 - August 4-16, 2021","369209","121168","9.8","3.2","3774785","6,767,278"
"New Mexico","35 - August 4-16, 2021","62445","32724","6.9","3.5","908272","1,604,259"
"New York","35 - August 4-16, 2021","695942","239443","9.1","3","7674071","14,714,964"
"North Carolina","35 - August 4-16, 2021","406697","166423","8.5","3.4","4793964","8,121,448"
"North Dakota","35 - August 4-16, 2021","8028","5805","2.7","1.9","300209","560,525"
"Ohio","35 - August 4-16, 2021","174691","94004","3.6","1.9","4803293","8,833,555"
"Oklahoma","35 - August 4-16, 2021","79253","31823","5.1","2","1562341","2,941,764"
"Oregon","35 - August 4-16, 2021","74096","22719","3.4","1","2177707","3,326,774"
"Pennsylvania","35 - August 4-16, 2021","397460","139814","7.9","2.8","5044182","9,760,505"
"Rhode Island","35 - August 4-16, 2021","24720","10898","5","2.1","496848","815,717"
"South Carolina","35 - August 4-16, 2021","240591","93425","10.2","4","2368741","4,033,193"
"South Dakota","35 - August 4-16, 2021","12865","9128","3.3","2.3","387952","648,348"
"Tennessee","35 - August 4-16, 2021","220461","85207","7.3","2.7","3012442","5,279,261"
"Texas","35 - August 4-16, 2021","801721","263777","6.7","2.1","11927450","21,688,354"
"Utah","35 - August 4-16, 2021","45555","23679","3","1.6","1535124","2,324,002"
"Vermont","35 - August 4-16, 2021","7244","3692","2.7","1.4","269003","485,680"
"Virginia","35 - August 4-16, 2021","186244","60008","5.1","1.7","3652772","6,511,643"
"Washington","35 - August 4-16, 2021","152449","59819","3.9","1.5","3893352","5,950,326"
"West Virginia","35 - August 4-16, 2021","71647","33202","10.6","4.9","673494","1,377,441"
"Wisconsin","35 - August 4-16, 2021","86430","47513","3.3","1.8","2587850","4,454,731"
"Wyoming","35 - August 4-16, 2021","12168","8702","4.4","3.2","279409","438,527"
"Alabama","34 - July  21 - August 2, 2021","172860","76428","8.8","3.7","1969670","3,737,637"
"Alaska","34 - July  21 - August 2, 2021","21129","9529","6.2","2.8","341993","525,308"
"Arizona","34 - July  21 - August 2, 2021","105960","45199","3.2","1.4","3280342","5,753,909"
"Arkansas","34 - July  21 - August 2, 2021","74740","31793","6.7","2.8","1113533","2,264,877"
"California","34 - July  21 - August 2, 2021","1089524","254847","6","1.4","18265924","29,807,656"
"Colorado","34 - July  21 - August 2, 2021","63520","31973","2.1","1.1","2961044","4,504,323"
"Connecticut","34 - July  21 - August 2, 2021","142288","49478","9.5","3.3","1503474","2,724,164"
"Delaware","34 - July  21 - August 2, 2021","21203","10664","4.7","2.5","449674","767,878"
"District of Columbia","34 - July  21 - August 2, 2021","36371","21065","9.1","5.1","399600","546,656"
"Florida","34 - July  21 - August 2, 2021","849797","274683","9.2","2.9","9266199","17,254,676"
"Georgia","34 - July  21 - August 2, 2021","360956","112456","7.5","2.3","4783196","8,033,423"
"Hawaii","34 - July  21 - August 2, 2021","32830","12502","5.1","2","642774","1,065,941"
"Idaho","34 - July  21 - August 2, 2021","37231","17306","4.4","1.9","848862","1,382,940"
"Illinois","34 - July  21 - August 2, 2021","474194","154943","9","2.8","5274698","9,479,736"
"Indiana","34 - July  21 - August 2, 2021","137365","75524","5","2.8","2740721","5,029,256"
"Iowa","34 - July  21 - August 2, 2021","79134","48739","6.2","3.7","1275556","2,349,714"
"Kansas","34 - July  21 - August 2, 2021","50135","17761","4.1","1.4","1219603","2,146,524"
"Kentucky","34 - July  21 - August 2, 2021","104414","41672","6","2.4","1733625","3,358,135"
"Louisiana","34 - July  21 - August 2, 2021","149301","78586","8.8","4.5","1688661","3,432,241"
"Maine","34 - July  21 - August 2, 2021","48347","26325","8.3","4.5","584262","1,073,016"
"Maryland","34 - July  21 - August 2, 2021","200001","45816","7.1","1.6","2808612","4,585,752"
"Massachusetts","34 - July  21 - August 2, 2021","177002","78546","5.7","2.5","3114418","5,309,617"
"Michigan","34 - July  21 - August 2, 2021","86568","42878","2.1","1.1","4033614","7,631,231"
"Minnesota","34 - July  21 - August 2, 2021","90730","48937","3.6","2","2496474","4,250,165"
"Mississippi","34 - July  21 - August 2, 2021","94036","39301","8.4","3.6","1122113","2,186,321"
"Missouri","34 - July  21 - August 2, 2021","145262","44636","5.6","1.7","2606268","4,638,839"
"Montana","34 - July  21 - August 2, 2021","11105","6577","2.3","1.4","473112","834,511"
"Nebraska","34 - July  21 - August 2, 2021","31021","14086","3.6","1.6","850748","1,420,835"
"Nevada","34 - July  21 - August 2, 2021","39353","15616","2.5","1","1548495","2,450,986"
"New Hampshire","34 - July  21 - August 2, 2021","35656","26688","5.4","4","660177","1,080,887"
"New Jersey","34 - July  21 - August 2, 2021","315204","132001","8.6","3.4","3661880","6,767,278"
"New Mexico","34 - July  21 - August 2, 2021","75506","31288","8.4","3.2","895331","1,604,259"
"New York","34 - July  21 - August 2, 2021","501689","205691","6.1","2.5","8241625","14,714,964"
"North Carolina","34 - July  21 - August 2, 2021","257904","112621","5.5","2.4","4659679","8,121,448"
"North Dakota","34 - July  21 - August 2, 2021","18212","16511","5.6","5","323655","560,525"
"Ohio","34 - July  21 - August 2, 2021","318660","160950","6.7","3.2","4754455","8,833,555"
"Oklahoma","34 - July  21 - August 2, 2021","166479","50656","10.8","3.3","1546697","2,941,764"
"Oregon","34 - July  21 - August 2, 2021","91075","30654","4.3","1.4","2136891","3,326,774"
"Pennsylvania","34 - July  21 - August 2, 2021","237285","104586","4.6","2","5173054","9,760,505"
"Rhode Island","34 - July  21 - August 2, 2021","41131","19154","8.4","3.9","487275","815,717"
"South Carolina","34 - July  21 - August 2, 2021","201496","88083","9.2","4","2194941","4,033,193"
"South Dakota","34 - July  21 - August 2, 2021","20838","13528","6.6","4.1","316998","648,348"
"Tennessee","34 - July  21 - August 2, 2021","157892","60933","5.7","2.2","2777071","5,279,261"
"Texas","34 - July  21 - August 2, 2021","836644","191410","7.6","1.8","11011490","21,688,354"
"Utah","34 - July  21 - August 2, 2021","27970","11574","1.8","0.8","1552060","2,324,002"
"Vermont","34 - July  21 - August 2, 2021","16690","10766","6.3","4","263252","485,680"
"Virginia","34 - July  21 - August 2, 2021","222650","102264","5.6","2.5","4001611","6,511,643"
"Washington","34 - July  21 - August 2, 2021","143634","58257","3.7","1.5","3846749","5,950,326"
"West Virginia","34 - July  21 - August 2, 2021","42731","30158","7.1","4.8","605131","1,377,441"
"Wisconsin","34 - July  21 - August 2, 2021","74870","45154","3.1","1.9","2378659","4,454,731"
"Wyoming","34 - July  21 - August 2, 2021","17498","9191","6.9","3.6","254913","438,527"
"Alabama","33 - June 23 - July 5, 2021","151117","65277","8","3.2","1879713","3,737,637"
"Alaska","33 - June 23 - July 5, 2021","17579","6743","6.5","2.5","270035","525,308"
"Arizona","33 - June 23 - July 5, 2021","177323","83517","5.4","2.5","3305204","5,753,909"
"Arkansas","33 - June 23 - July 5, 2021","47204","33490","4.4","3.1","1080990","2,264,877"
"California","33 - June 23 - July 5, 2021","1035069","314439","6.3","1.9","16468688","29,807,656"
"Colorado","33 - June 23 - July 5, 2021","105181","46320","4","1.7","2649993","4,504,323"
"Connecticut","33 - June 23 - July 5, 2021","126952","59345","8.3","3.8","1527924","2,724,164"
"Delaware","33 - June 23 - July 5, 2021","19715","14349","5.1","3.7","389295","767,878"
"District of Columbia","33 - June 23 - July 5, 2021","32826","14848","9.3","4.1","354522","546,656"
"Florida","33 - June 23 - July 5, 2021","571506","193586","6.8","2.2","8397299","17,254,676"
"Georgia","33 - June 23 - July 5, 2021","387700","110355","9.5","2.6","4086224","8,033,423"
"Hawaii","33 - June 23 - July 5, 2021","22783","11865","3.6","1.8","639698","1,065,941"
"Idaho","33 - June 23 - July 5, 2021","27606","10622","3.5","1.4","778071","1,382,940"
"Illinois","33 - June 23 - July 5, 2021","236363","97148","5.2","2.1","4589180","9,479,736"
"Indiana","33 - June 23 - July 5, 2021","115224","47624","4.7","1.9","2466436","5,029,256"
"Iowa","33 - June 23 - July 5, 2021","55029","30778","4.6","2.4","1202520","2,349,714"
"Kansas","33 - June 23 - July 5, 2021","46201","19638","4.1","1.7","1132823","2,146,524"
"Kentucky","33 - June 23 - July 5, 2021","119294","54433","7","3.1","1693454","3,358,135"
"Louisiana","33 - June 23 - July 5, 2021","133150","60204","8.2","3.6","1615214","3,432,241"
"Maine","33 - June 23 - July 5, 2021","27583","13796","5.3","2.7","515595","1,073,016"
"Maryland","33 - June 23 - July 5, 2021","187113","75410","7.6","2.9","2477755","4,585,752"
"Massachusetts","33 - June 23 - July 5, 2021","116675","47131","4.2","1.6","2769758","5,309,617"
"Michigan","33 - June 23 - July 5, 2021","117062","48578","3.1","1.3","3762914","7,631,231"
"Minnesota","33 - June 23 - July 5, 2021","62236","32103","2.7","1.5","2269774","4,250,165"
"Mississippi","33 - June 23 - July 5, 2021","120523","63679","12.3","6","979625","2,186,321"
"Missouri","33 - June 23 - July 5, 2021","82416","40553","3.5","1.7","2324213","4,638,839"
"Montana","33 - June 23 - July 5, 2021","13446","7928","3.2","1.9","419046","834,511"
"Nebraska","33 - June 23 - July 5, 2021","40073","18562","5.9","2.6","679161","1,420,835"
"Nevada","33 - June 23 - July 5, 2021","69846","33855","5","2.4","1395683","2,450,986"
"New Hampshire","33 - June 23 - July 5, 2021","37021","14148","6.2","2.4","600180","1,080,887"
"New Jersey","33 - June 23 - July 5, 2021","270285","84413","8.3","2.6","3256746","6,767,278"
"New Mexico","33 - June 23 - July 5, 2021","86366","33663","9.9","3.7","873479","1,604,259"
"New York","33 - June 23 - July 5, 2021","492999","211726","7","2.9","7052652","14,714,964"
"North Carolina","33 - June 23 - July 5, 2021","256384","82376","6.1","1.9","4180126","8,121,448"
"North Dakota","33 - June 23 - July 5, 2021","16779","9954","5.9","3.6","284539","560,525"
"Ohio","33 - June 23 - July 5, 2021","394635","160069","9.4","3.6","4217644","8,833,555"
"Oklahoma","33 - June 23 - July 5, 2021","105039","42357","6.8","2.8","1534632","2,941,764"
"Oregon","33 - June 23 - July 5, 2021","92469","40709","4.9","2.1","1880032","3,326,774"
"Pennsylvania","33 - June 23 - July 5, 2021","331700","115499","6.9","2.4","4840894","9,760,505"
"Rhode Island","33 - June 23 - July 5, 2021","31334","22395","7.3","5.1","427118","815,717"
"South Carolina","33 - June 23 - July 5, 2021","239949","95589","11.7","4.6","2045699","4,033,193"
"South Dakota","33 - June 23 - July 5, 2021","15486","9293","4.8","2.9","320857","648,348"
"Tennessee","33 - June 23 - July 5, 2021","203477","78839","8","2.9","2558261","5,279,261"
"Texas","33 - June 23 - July 5, 2021","837755","241176","8","2.3","10465148","21,688,354"
"Utah","33 - June 23 - July 5, 2021","58304","25772","4.3","1.9","1353829","2,324,002"
"Vermont","33 - June 23 - July 5, 2021","6740","4209","2.4","1.5","275447","485,680"
"Virginia","33 - June 23 - July 5, 2021","128945","57700","3.7","1.6","3475932","6,511,643"
"Washington","33 - June 23 - July 5, 2021","202283","66817","6","2","3377769","5,950,326"
"West Virginia","33 - June 23 - July 5, 2021","42301","19595","7","3.2","601611","1,377,441"
"Wisconsin","33 - June 23 - July 5, 2021","85094","35295","3.8","1.6","2229359","4,454,731"
"Wyoming","33 - June 23 - July 5, 2021","10193","7618","4.5","3.4","224807","438,527"
"Alabama","32 - June 9-21, 2021","240452","81474","13.5","4.3","1785766","3,737,637"
"Alaska","32 - June 9-21, 2021","16066","4973","5.9","1.7","273452","525,308"
"Arizona","32 - June 9-21, 2021","98930","53331","3.3","1.7","3017315","5,753,909"
"Arkansas","32 - June 9-21, 2021","48723","24213","4.8","2.4","1022922","2,264,877"
"California","32 - June 9-21, 2021","837538","182957","5.1","1.1","16343641","29,807,656"
"Colorado","32 - June 9-21, 2021","78185","32449","3","1.2","2598411","4,504,323"
"Connecticut","32 - June 9-21, 2021","65683","28026","4.5","1.9","1453852","2,724,164"
"Delaware","32 - June 9-21, 2021","27225","16867","6.6","4.1","411605","767,878"
"District of Columbia","32 - June 9-21, 2021","17254","8337","5.1","2.5","337515","546,656"
"Florida","32 - June 9-21, 2021","727187","234219","8.3","2.6","8741667","17,254,676"
"Georgia","32 - June 9-21, 2021","447856","166544","10.9","4","4118570","8,033,423"
"Hawaii","32 - June 9-21, 2021","25725","12636","4.1","2","627187","1,065,941"
"Idaho","32 - June 9-21, 2021","15195","8796","2","1.1","779179","1,382,940"
"Illinois","32 - June 9-21, 2021","363166","128866","7.7","2.7","4745845","9,479,736"
"Indiana","32 - June 9-21, 2021","144187","68071","5.6","2.6","2595346","5,029,256"
"Iowa","32 - June 9-21, 2021","74995","37270","6.5","3.2","1156399","2,349,714"
"Kansas","32 - June 9-21, 2021","52395","22020","4.6","1.9","1144011","2,146,524"
"Kentucky","32 - June 9-21, 2021","148415","69777","8.8","4","1677140","3,358,135"
"Louisiana","32 - June 9-21, 2021","135485","62096","9.6","4.3","1409137","3,432,241"
"Maine","32 - June 9-21, 2021","14362","10878","2.5","1.9","582715","1,073,016"
"Maryland","32 - June 9-21, 2021","182394","66992","7","2.5","2607775","4,585,752"
"Massachusetts","32 - June 9-21, 2021","121375","51133","4.5","1.8","2694944","5,309,617"
"Michigan","32 - June 9-21, 2021","169550","60310","4.7","1.7","3579599","7,631,231"
"Minnesota","32 - June 9-21, 2021","63056","29186","3","1.4","2134691","4,250,165"
"Mississippi","32 - June 9-21, 2021","109978","43016","11.1","4.1","988042","2,186,321"
"Missouri","32 - June 9-21, 2021","137952","46040","5.5","1.8","2507968","4,638,839"
"Montana","32 - June 9-21, 2021","32538","16210","7.4","3.6","437451","834,511"
"Nebraska","32 - June 9-21, 2021","40745","18324","5","2.2","816556","1,420,835"
"Nevada","32 - June 9-21, 2021","59637","27726","4.5","2","1328234","2,450,986"
"New Hampshire","32 - June 9-21, 2021","22282","14521","3.8","2.4","591905","1,080,887"
"New Jersey","32 - June 9-21, 2021","196701","80104","6.1","2.4","3213701","6,767,278"
"New Mexico","32 - June 9-21, 2021","23675","12913","3.1","1.8","757589","1,604,259"
"New York","32 - June 9-21, 2021","391079","153014","5.1","1.9","7682469","14,714,964"
"North Carolina","32 - June 9-21, 2021","276813","80014","6.3","1.9","4359927","8,121,448"
"North Dakota","32 - June 9-21, 2021","22034","12465","6.8","3.8","323220","560,525"
"Ohio","32 - June 9-21, 2021","357506","142457","8.1","3","4394431","8,833,555"
"Oklahoma","32 - June 9-21, 2021","134594","42860","9.5","3","1416733","2,941,764"
"Oregon","32 - June 9-21, 2021","113030","32544","5.8","1.7","1943457","3,326,774"
"Pennsylvania","32 - June 9-21, 2021","200252","61260","4.3","1.3","4610657","9,760,505"
"Rhode Island","32 - June 9-21, 2021","18908","11229","4.3","2.5","442360","815,717"
"South Carolina","32 - June 9-21, 2021","151771","65059","7.5","3.1","2019835","4,033,193"
"South Dakota","32 - June 9-21, 2021","21960","10125","6.4","2.9","345655","648,348"
"Tennessee","32 - June 9-21, 2021","107864","54448","4.2","2","2570727","5,279,261"
"Texas","32 - June 9-21, 2021","851354","205467","7.8","1.8","10954481","21,688,354"
"Utah","32 - June 9-21, 2021","32896","20098","2.4","1.5","1355033","2,324,002"
"Vermont","32 - June 9-21, 2021","6740","3874","2.5","1.5","269194","485,680"
"Virginia","32 - June 9-21, 2021","233759","94783","6.1","2.4","3850535","6,511,643"
"Washington","32 - June 9-21, 2021","259861","75958","7.3","2.1","3583691","5,950,326"
"West Virginia","32 - June 9-21, 2021","62426","41865","11.3","7.3","552333","1,377,441"
"Wisconsin","32 - June 9-21, 2021","74031","35564","3.1","1.5","2388185","4,454,731"
"Wyoming","32 - June 9-21, 2021","15121","7897","6.5","3.5","233173","438,527"
"Alabama","31 - May 26 - June 7, 2021","105034","68372","5.9","3.8","1770569","3,737,637"
"Alaska","31 - May 26 - June 7, 2021","13577","5570","4.6","1.9","294569","525,308"
"Arizona","31 - May 26 - June 7, 2021","122833","37245","3.9","1.2","3125049","5,753,909"
"Arkansas","31 - May 26 - June 7, 2021","93922","40574","9.2","3.7","1015743","2,264,877"
"California","31 - May 26 - June 7, 2021","726179","196644","4.4","1.2","16372758","29,807,656"
"Colorado","31 - May 26 - June 7, 2021","186976","81233","6.9","2.9","2721570","4,504,323"
"Connecticut","31 - May 26 - June 7, 2021","103197","41515","7.6","3.1","1362558","2,724,164"
"Delaware","31 - May 26 - June 7, 2021","17761","13793","4.7","3.6","378998","767,878"
"District of Columbia","31 - May 26 - June 7, 2021","22810","9331","6.3","2.6","360328","546,656"
"Florida","31 - May 26 - June 7, 2021","437823","129780","4.9","1.4","8987660","17,254,676"
"Georgia","31 - May 26 - June 7, 2021","431498","151881","10.9","3.6","3942275","8,033,423"
"Hawaii","31 - May 26 - June 7, 2021","28758","9727","4.9","1.7","583019","1,065,941"
"Idaho","31 - May 26 - June 7, 2021","29762","14942","4","2","748571","1,382,940"
"Illinois","31 - May 26 - June 7, 2021","382672","160937","8.2","3.3","4682668","9,479,736"
"Indiana","31 - May 26 - June 7, 2021","121102","40907","4.7","1.6","2584280","5,029,256"
"Iowa","31 - May 26 - June 7, 2021","56830","28998","4.9","2.5","1171204","2,349,714"
"Kansas","31 - May 26 - June 7, 2021","42786","17997","4","1.6","1079891","2,146,524"
"Kentucky","31 - May 26 - June 7, 2021","97475","48089","5.8","2.8","1674184","3,358,135"
"Louisiana","31 - May 26 - June 7, 2021","134158","54241","9","3.6","1484660","3,432,241"
"Maine","31 - May 26 - June 7, 2021","26970","18577","5.1","3.4","531254","1,073,016"
"Maryland","31 - May 26 - June 7, 2021","133803","35601","5.3","1.4","2522429","4,585,752"
"Massachusetts","31 - May 26 - June 7, 2021","188923","68930","6.2","2.2","3065610","5,309,617"
"Michigan","31 - May 26 - June 7, 2021","111882","43335","3","1.2","3767298","7,631,231"
"Minnesota","31 - May 26 - June 7, 2021","87507","41536","3.9","1.8","2222951","4,250,165"
"Mississippi","31 - May 26 - June 7, 2021","79144","35098","7.8","3.3","1019632","2,186,321"
"Missouri","31 - May 26 - June 7, 2021","130959","65834","5.7","2.7","2295256","4,638,839"
"Montana","31 - May 26 - June 7, 2021","24494","15821","5.5","3.5","447083","834,511"
"Nebraska","31 - May 26 - June 7, 2021","21712","10621","2.7","1.4","792770","1,420,835"
"Nevada","31 - May 26 - June 7, 2021","115222","43045","7.7","2.9","1500135","2,450,986"
"New Hampshire","31 - May 26 - June 7, 2021","19805","14283","3.4","2.5","576570","1,080,887"
"New Jersey","31 - May 26 - June 7, 2021","322624","104366","9.1","2.8","3551670","6,767,278"
"New Mexico","31 - May 26 - June 7, 2021","54561","17108","6.7","2.1","820381","1,604,259"
"New York","31 - May 26 - June 7, 2021","659326","198749","9.1","2.8","7252599","14,714,964"
"North Carolina","31 - May 26 - June 7, 2021","245731","78746","5.9","1.9","4143642","8,121,448"
"North Dakota","31 - May 26 - June 7, 2021","9725","7866","3.4","2.7","287873","560,525"
"Ohio","31 - May 26 - June 7, 2021","224009","92723","5.4","2.2","4183199","8,833,555"
"Oklahoma","31 - May 26 - June 7, 2021","69405","30329","4.5","2","1552071","2,941,764"
"Oregon","31 - May 26 - June 7, 2021","122475","40265","6.2","2.1","1966625","3,326,774"
"Pennsylvania","31 - May 26 - June 7, 2021","282967","111995","6","2.3","4694187","9,760,505"
"Rhode Island","31 - May 26 - June 7, 2021","17914","9153","4.3","2.2","415202","815,717"
"South Carolina","31 - May 26 - June 7, 2021","273034","99475","13.4","4.5","2031480","4,033,193"
"South Dakota","31 - May 26 - June 7, 2021","15426","12393","4.9","3.8","315746","648,348"
"Tennessee","31 - May 26 - June 7, 2021","159995","55024","6.5","2.2","2472826","5,279,261"
"Texas","31 - May 26 - June 7, 2021","712385","236359","6.7","2.1","10625884","21,688,354"
"Utah","31 - May 26 - June 7, 2021","40722","14180","2.9","1","1384784","2,324,002"
"Vermont","31 - May 26 - June 7, 2021","18950","13027","6.2","4.2","308037","485,680"
"Virginia","31 - May 26 - June 7, 2021","295568","123517","7.1","3","4150884","6,511,643"
"Washington","31 - May 26 - June 7, 2021","221627","77163","6","2.1","3675677","5,950,326"
"West Virginia","31 - May 26 - June 7, 2021","14649","8578","2.7","1.6","547933","1,377,441"
"Wisconsin","31 - May 26 - June 7, 2021","128095","75567","5.7","3.2","2265260","4,454,731"
"Wyoming","31 - May 26 - June 7, 2021","7791","4796","3.8","2.4","205538","438,527"
"Alabama","30 - May 12-24, 2021","143671","63966","8.6","3.7","1663623","3,737,637"
"Alaska","30 - May 12-24, 2021","23252","6007","7.6","2.1","305669","525,308"
"Arizona","30 - May 12-24, 2021","109248","40545","3.5","1.3","3154853","5,753,909"
"Arkansas","30 - May 12-24, 2021","43176","23178","4","2.2","1072195","2,264,877"
"California","30 - May 12-24, 2021","866292","189533","5.3","1.2","16486153","29,807,656"
"Colorado","30 - May 12-24, 2021","159574","68073","6.2","2.6","2561718","4,504,323"
"Connecticut","30 - May 12-24, 2021","71522","26154","5.2","1.9","1371852","2,724,164"
"Delaware","30 - May 12-24, 2021","14602","5976","4.2","1.7","348549","767,878"
"District of Columbia","30 - May 12-24, 2021","27677","15420","7.7","4.2","360154","546,656"
"Florida","30 - May 12-24, 2021","677429","244400","7.6","2.7","8938047","17,254,676"
"Georgia","30 - May 12-24, 2021","205883","62238","5.1","1.6","4001705","8,033,423"
"Hawaii","30 - May 12-24, 2021","36415","14016","6.5","2.5","564288","1,065,941"
"Idaho","30 - May 12-24, 2021","32680","16019","3.9","1.9","834504","1,382,940"
"Illinois","30 - May 12-24, 2021","244185","92132","5","1.9","4909393","9,479,736"
"Indiana","30 - May 12-24, 2021","82285","34718","3.1","1.3","2650767","5,029,256"
"Iowa","30 - May 12-24, 2021","77244","37587","6.2","3","1242145","2,349,714"
"Kansas","30 - May 12-24, 2021","48271","21253","4.3","1.9","1117919","2,146,524"
"Kentucky","30 - May 12-24, 2021","71835","42717","4.3","2.6","1654728","3,358,135"
"Louisiana","30 - May 12-24, 2021","133038","50168","8.4","2.9","1587293","3,432,241"
"Maine","30 - May 12-24, 2021","22175","12570","3.9","2.1","574897","1,073,016"
"Maryland","30 - May 12-24, 2021","130065","41486","4.9","1.5","2659196","4,585,752"
