State,Year,Month,Condition,BehavioralHealthService,ServiceCount,RatePer1000Beneficiaries,DataQuality
District of Columbia,2022,202207,Mental health disorder,Emergency department,582,1.9,
District of Columbia,2022,202207,Mental health disorder,Inpatient,526,1.8,
District of Columbia,2022,202207,Mental health disorder,Intensive outpatient/Partial hospitalization,497,1.7,
District of Columbia,2022,202207,Mental health disorder,Outpatient,"84,025",279.8,
District of Columbia,2022,202207,Mental health disorder,Telehealth,"7,844",26.1,
District of Columbia,2022,202207,Substance use disorder,Emergency department,"1,362",4.5,
District of Columbia,2022,202207,Substance use disorder,Inpatient,702,2.3,
District of Columbia,2022,202207,Substance use disorder,Intensive outpatient/Partial hospitalization,"4,053",13.5,
District of Columbia,2022,202207,Substance use disorder,Outpatient,98,0.3,
District of Columbia,2022,202207,Substance use disorder,Telehealth,"1,156",3.8,
District of Columbia,2022,202208,Mental health disorder,Emergency department,496,1.6,
District of Columbia,2022,202208,Mental health disorder,Inpatient,486,1.6,
District of Columbia,2022,202208,Mental health disorder,Intensive outpatient/Partial hospitalization,557,1.8,
District of Columbia,2022,202208,Mental health disorder,Outpatient,"91,220",302.2,
District of Columbia,2022,202208,Mental health disorder,Telehealth,"8,786",29.1,
District of Columbia,2022,202208,Substance use disorder,Emergency department,"1,344",4.5,
District of Columbia,2022,202208,Substance use disorder,Inpatient,684,2.3,
District of Columbia,2022,202208,Substance use disorder,Intensive outpatient/Partial hospitalization,"4,461",14.8,
District of Columbia,2022,202208,Substance use disorder,Outpatient,68,0.2,
District of Columbia,2022,202208,Substance use disorder,Telehealth,"1,203",4,
District of Columbia,2022,202209,Mental health disorder,Emergency department,566,1.9,
District of Columbia,2022,202209,Mental health disorder,Inpatient,492,1.6,
District of Columbia,2022,202209,Mental health disorder,Intensive outpatient/Partial hospitalization,520,1.7,
District of Columbia,2022,202209,Mental health disorder,Outpatient,"91,217",301,
District of Columbia,2022,202209,Mental health disorder,Telehealth,"8,252",27.2,
District of Columbia,2022,202209,Substance use disorder,Emergency department,"1,234",4.1,
District of Columbia,2022,202209,Substance use disorder,Inpatient,691,2.3,
District of Columbia,2022,202209,Substance use disorder,Intensive outpatient/Partial hospitalization,"3,854",12.7,
District of Columbia,2022,202209,Substance use disorder,Outpatient,79,0.3,
District of Columbia,2022,202209,Substance use disorder,Telehealth,942,3.1,
District of Columbia,2022,202210,Mental health disorder,Emergency department,602,2,
District of Columbia,2022,202210,Mental health disorder,Inpatient,441,1.5,
District of Columbia,2022,202210,Mental health disorder,Intensive outpatient/Partial hospitalization,526,1.7,
District of Columbia,2022,202210,Mental health disorder,Outpatient,"98,718",324.6,
District of Columbia,2022,202210,Mental health disorder,Telehealth,"8,121",26.7,
District of Columbia,2022,202210,Substance use disorder,Emergency department,"1,259",4.1,
District of Columbia,2022,202210,Substance use disorder,Inpatient,636,2.1,
District of Columbia,2022,202210,Substance use disorder,Intensive outpatient/Partial hospitalization,"3,696",12.2,
District of Columbia,2022,202210,Substance use disorder,Outpatient,58,0.2,
District of Columbia,2022,202210,Substance use disorder,Telehealth,811,2.7,
District of Columbia,2022,202211,Mental health disorder,Emergency department,603,2,
District of Columbia,2022,202211,Mental health disorder,Inpatient,490,1.6,
District of Columbia,2022,202211,Mental health disorder,Intensive outpatient/Partial hospitalization,492,1.6,
District of Columbia,2022,202211,Mental health disorder,Outpatient,"97,857",320.6,
District of Columbia,2022,202211,Mental health disorder,Telehealth,"8,211",26.9,
District of Columbia,2022,202211,Substance use disorder,Emergency department,"1,168",3.8,
District of Columbia,2022,202211,Substance use disorder,Inpatient,692,2.3,
District of Columbia,2022,202211,Substance use disorder,Intensive outpatient/Partial hospitalization,"3,500",11.5,
District of Columbia,2022,202211,Substance use disorder,Outpatient,52,0.2,
District of Columbia,2022,202211,Substance use disorder,Telehealth,742,2.4,
District of Columbia,2022,202212,Mental health disorder,Emergency department,467,1.5,
District of Columbia,2022,202212,Mental health disorder,Inpatient,379,1.2,
District of Columbia,2022,202212,Mental health disorder,Intensive outpatient/Partial hospitalization,488,1.6,
District of Columbia,2022,202212,Mental health disorder,Outpatient,"98,419",321,
District of Columbia,2022,202212,Mental health disorder,Telehealth,"7,627",24.9,
District of Columbia,2022,202212,Substance use disorder,Emergency department,966,3.2,
District of Columbia,2022,202212,Substance use disorder,Inpatient,514,1.7,
District of Columbia,2022,202212,Substance use disorder,Intensive outpatient/Partial hospitalization,"2,849",9.3,
District of Columbia,2022,202212,Substance use disorder,Outpatient,33,0.1,
District of Columbia,2022,202212,Substance use disorder,Telehealth,701,2.3,
Florida,2018,201801,Mental health disorder,Emergency department,"1,980",0.4,Unusable
Florida,2018,201801,Mental health disorder,Inpatient,"14,430",3,Unusable
Florida,2018,201801,Mental health disorder,Intensive outpatient/Partial hospitalization,471,0.1,Unusable
Florida,2018,201801,Mental health disorder,Outpatient,"44,226",9.2,Unusable
Florida,2018,201801,Mental health disorder,Telehealth,DS,DS,Unusable
Florida,2018,201801,Substance use disorder,Emergency department,"3,670",0.8,Unusable
Florida,2018,201801,Substance use disorder,Inpatient,"13,805",2.9,Unusable
Florida,2018,201801,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,905",0.4,Unusable
Florida,2018,201801,Substance use disorder,Outpatient,99,0,Unusable
Florida,2018,201801,Substance use disorder,Telehealth,DS,DS,Unusable
Florida,2018,201802,Mental health disorder,Emergency department,"2,069",0.4,Unusable
Florida,2018,201802,Mental health disorder,Inpatient,"13,275",2.8,Unusable
Florida,2018,201802,Mental health disorder,Intensive outpatient/Partial hospitalization,575,0.1,Unusable
Florida,2018,201802,Mental health disorder,Outpatient,"42,830",8.9,Unusable
Florida,2018,201802,Mental health disorder,Telehealth,DS,DS,Unusable
Florida,2018,201802,Substance use disorder,Emergency department,"3,534",0.7,Unusable
Florida,2018,201802,Substance use disorder,Inpatient,"12,141",2.5,Unusable
Florida,2018,201802,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,628",0.3,Unusable
Florida,2018,201802,Substance use disorder,Outpatient,125,0,Unusable
Florida,2018,201802,Substance use disorder,Telehealth,DS,DS,Unusable
Florida,2018,201803,Mental health disorder,Emergency department,"2,382",0.5,
Florida,2018,201803,Mental health disorder,Inpatient,"13,838",2.9,
Florida,2018,201803,Mental health disorder,Intensive outpatient/Partial hospitalization,703,0.1,
Florida,2018,201803,Mental health disorder,Outpatient,"45,513",9.5,
Florida,2018,201803,Mental health disorder,Telehealth,DS,DS,
Florida,2018,201803,Substance use disorder,Emergency department,"3,890",0.8,
Florida,2018,201803,Substance use disorder,Inpatient,"13,137",2.7,
Florida,2018,201803,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,751",0.4,
Florida,2018,201803,Substance use disorder,Outpatient,182,0,
Florida,2018,201803,Substance use disorder,Telehealth,0,0,
Florida,2018,201804,Mental health disorder,Emergency department,"1,952",0.4,Unusable
Florida,2018,201804,Mental health disorder,Inpatient,"13,643",2.9,Unusable
Florida,2018,201804,Mental health disorder,Intensive outpatient/Partial hospitalization,759,0.2,Unusable
Florida,2018,201804,Mental health disorder,Outpatient,"48,280",10.1,Unusable
Florida,2018,201804,Mental health disorder,Telehealth,12,0,Unusable
Florida,2018,201804,Substance use disorder,Emergency department,"2,486",0.5,Unusable
Florida,2018,201804,Substance use disorder,Inpatient,"12,924",2.7,Unusable
Florida,2018,201804,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,784",0.4,Unusable
Florida,2018,201804,Substance use disorder,Outpatient,166,0,Unusable
Florida,2018,201804,Substance use disorder,Telehealth,DS,DS,Unusable
Florida,2018,201805,Mental health disorder,Emergency department,"2,479",0.5,Unusable
Florida,2018,201805,Mental health disorder,Inpatient,"13,842",2.9,Unusable
Florida,2018,201805,Mental health disorder,Intensive outpatient/Partial hospitalization,719,0.2,Unusable
Florida,2018,201805,Mental health disorder,Outpatient,"48,891",10.3,Unusable
Florida,2018,201805,Mental health disorder,Telehealth,12,0,Unusable
Florida,2018,201805,Substance use disorder,Emergency department,"3,453",0.7,Unusable
Florida,2018,201805,Substance use disorder,Inpatient,"13,279",2.8,Unusable
Florida,2018,201805,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,692",0.4,Unusable
Florida,2018,201805,Substance use disorder,Outpatient,190,0,Unusable
Florida,2018,201805,Substance use disorder,Telehealth,DS,DS,Unusable
Florida,2018,201806,Mental health disorder,Emergency department,"2,593",0.5,Unusable
Florida,2018,201806,Mental health disorder,Inpatient,"13,145",2.8,Unusable
Florida,2018,201806,Mental health disorder,Intensive outpatient/Partial hospitalization,623,0.1,Unusable
Florida,2018,201806,Mental health disorder,Outpatient,"45,539",9.6,Unusable
Florida,2018,201806,Mental health disorder,Telehealth,11,0,Unusable
Florida,2018,201806,Substance use disorder,Emergency department,"3,751",0.8,Unusable
Florida,2018,201806,Substance use disorder,Inpatient,"13,037",2.7,Unusable
Florida,2018,201806,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,716",0.4,Unusable
Florida,2018,201806,Substance use disorder,Outpatient,197,0,Unusable
Florida,2018,201806,Substance use disorder,Telehealth,DS,DS,Unusable
Florida,2018,201807,Mental health disorder,Emergency department,"2,615",0.6,
Florida,2018,201807,Mental health disorder,Inpatient,"13,522",2.8,
Florida,2018,201807,Mental health disorder,Intensive outpatient/Partial hospitalization,751,0.2,
Florida,2018,201807,Mental health disorder,Outpatient,"51,403",10.8,
Florida,2018,201807,Mental health disorder,Telehealth,DS,DS,
Florida,2018,201807,Substance use disorder,Emergency department,"3,876",0.8,
Florida,2018,201807,Substance use disorder,Inpatient,"13,363",2.8,
Florida,2018,201807,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,729",0.4,
Florida,2018,201807,Substance use disorder,Outpatient,221,0,
Florida,2018,201807,Substance use disorder,Telehealth,DS,DS,
Florida,2018,201808,Mental health disorder,Emergency department,"2,554",0.5,
Florida,2018,201808,Mental health disorder,Inpatient,"13,729",2.9,
Florida,2018,201808,Mental health disorder,Intensive outpatient/Partial hospitalization,945,0.2,
Florida,2018,201808,Mental health disorder,Outpatient,"55,718",11.7,
Florida,2018,201808,Mental health disorder,Telehealth,DS,DS,
Florida,2018,201808,Substance use disorder,Emergency department,"3,849",0.8,
Florida,2018,201808,Substance use disorder,Inpatient,"13,520",2.9,
Florida,2018,201808,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,810",0.4,
Florida,2018,201808,Substance use disorder,Outpatient,236,0,
Florida,2018,201808,Substance use disorder,Telehealth,DS,DS,
Florida,2018,201809,Mental health disorder,Emergency department,"2,467",0.5,
Florida,2018,201809,Mental health disorder,Inpatient,"13,156",2.8,
Florida,2018,201809,Mental health disorder,Intensive outpatient/Partial hospitalization,963,0.2,
Florida,2018,201809,Mental health disorder,Outpatient,"51,862",11,
Florida,2018,201809,Mental health disorder,Telehealth,DS,DS,
Florida,2018,201809,Substance use disorder,Emergency department,"3,811",0.8,
Florida,2018,201809,Substance use disorder,Inpatient,"12,795",2.7,
Florida,2018,201809,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,728",0.4,
Florida,2018,201809,Substance use disorder,Outpatient,190,0,
Florida,2018,201809,Substance use disorder,Telehealth,DS,DS,
Florida,2018,201810,Mental health disorder,Emergency department,"2,482",0.5,
Florida,2018,201810,Mental health disorder,Inpatient,"13,608",2.9,
Florida,2018,201810,Mental health disorder,Intensive outpatient/Partial hospitalization,"1,149",0.2,
Florida,2018,201810,Mental health disorder,Outpatient,"62,373",13.2,
Florida,2018,201810,Mental health disorder,Telehealth,11,0,
Florida,2018,201810,Substance use disorder,Emergency department,"3,647",0.8,
Florida,2018,201810,Substance use disorder,Inpatient,"12,999",2.7,
Florida,2018,201810,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,982",0.4,
Florida,2018,201810,Substance use disorder,Outpatient,156,0,
Florida,2018,201810,Substance use disorder,Telehealth,DS,DS,
Florida,2018,201811,Mental health disorder,Emergency department,"2,417",0.5,
Florida,2018,201811,Mental health disorder,Inpatient,"12,289",2.6,
Florida,2018,201811,Mental health disorder,Intensive outpatient/Partial hospitalization,"1,072",0.2,
Florida,2018,201811,Mental health disorder,Outpatient,"57,124",12.1,
Florida,2018,201811,Mental health disorder,Telehealth,DS,DS,
Florida,2018,201811,Substance use disorder,Emergency department,"3,596",0.8,
Florida,2018,201811,Substance use disorder,Inpatient,"11,950",2.5,
Florida,2018,201811,Substance use disorder,Intensive outpatient/Partial hospitalization,"1,587",0.3,
Florida,2018,201811,Substance use disorder,Outpatient,164,0,
Florida,2018,201811,Substance use disorder,Telehealth,DS,DS,
Florida,2018,201812,Mental health disorder,Emergency department,"5,145",1.1,
Florida,2018,201812,Mental health disorder,Inpatient,"9,779",2.1,
Florida,2018,201812,Mental health disorder,Intensive outpatient/Partial hospitalization,"1,171",0.2,
Florida,2018,201812,Mental health disorder,Outpatient,"145,486",30.8,
Florida,2018,201812,Mental health disorder,Telehealth,19,0,
Florida,2018,201812,Substance use disorder,Emergency department,"6,198",1.3,
Florida,2018,201812,Substance use disorder,Inpatient,"10,155",2.2,
Florida,2018,201812,Substance use disorder,Intensive outpatient/Partial hospitalization,"5,152",1.1,
Florida,2018,201812,Substance use disorder,Outpatient,259,0.1,
Florida,2018,201812,Substance use disorder,Telehealth,DS,DS,
Florida,2019,201901,Mental health disorder,Emergency department,"7,993",1.7,
Florida,2019,201901,Mental health disorder,Inpatient,"11,936",2.5,
Florida,2019,201901,Mental health disorder,Intensive outpatient/Partial hospitalization,"1,721",0.4,
Florida,2019,201901,Mental health disorder,Outpatient,"301,194",63,
Florida,2019,201901,Mental health disorder,Telehealth,60,0,
Florida,2019,201901,Substance use disorder,Emergency department,"9,809",2.1,
Florida,2019,201901,Substance use disorder,Inpatient,"12,206",2.6,
Florida,2019,201901,Substance use disorder,Intensive outpatient/Partial hospitalization,"14,156",3,
Florida,2019,201901,Substance use disorder,Outpatient,489,0.1,
Florida,2019,201901,Substance use disorder,Telehealth,36,0,
Florida,2019,201902,Mental health disorder,Emergency department,"10,249",2.1,
Florida,2019,201902,Mental health disorder,Inpatient,"11,339",2.4,
Florida,2019,201902,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,210",0.5,
Florida,2019,201902,Mental health disorder,Outpatient,"367,437",77.1,
Florida,2019,201902,Mental health disorder,Telehealth,69,0,
Florida,2019,201902,Substance use disorder,Emergency department,"13,079",2.7,
Florida,2019,201902,Substance use disorder,Inpatient,"11,346",2.4,
Florida,2019,201902,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,030",4.2,
Florida,2019,201902,Substance use disorder,Outpatient,593,0.1,
Florida,2019,201902,Substance use disorder,Telehealth,76,0,
Florida,2019,201903,Mental health disorder,Emergency department,"11,130",2.3,
Florida,2019,201903,Mental health disorder,Inpatient,"11,754",2.5,
Florida,2019,201903,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,386",0.5,
Florida,2019,201903,Mental health disorder,Outpatient,"375,110",78.8,
Florida,2019,201903,Mental health disorder,Telehealth,81,0,
Florida,2019,201903,Substance use disorder,Emergency department,"13,743",2.9,
Florida,2019,201903,Substance use disorder,Inpatient,"11,897",2.5,
Florida,2019,201903,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,450",4.3,
Florida,2019,201903,Substance use disorder,Outpatient,624,0.1,
Florida,2019,201903,Substance use disorder,Telehealth,66,0,
Florida,2019,201904,Mental health disorder,Emergency department,"9,559",2,
Florida,2019,201904,Mental health disorder,Inpatient,"11,912",2.5,
Florida,2019,201904,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,751",0.6,
Florida,2019,201904,Mental health disorder,Outpatient,"413,736",87.1,
Florida,2019,201904,Mental health disorder,Telehealth,68,0,
Florida,2019,201904,Substance use disorder,Emergency department,"10,805",2.3,
Florida,2019,201904,Substance use disorder,Inpatient,"11,893",2.5,
Florida,2019,201904,Substance use disorder,Intensive outpatient/Partial hospitalization,"21,571",4.5,
Florida,2019,201904,Substance use disorder,Outpatient,667,0.1,
Florida,2019,201904,Substance use disorder,Telehealth,82,0,
Florida,2019,201905,Mental health disorder,Emergency department,"10,632",2.2,
Florida,2019,201905,Mental health disorder,Inpatient,"11,962",2.5,
Florida,2019,201905,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,887",0.6,
Florida,2019,201905,Mental health disorder,Outpatient,"402,519",84.8,
Florida,2019,201905,Mental health disorder,Telehealth,92,0,
Florida,2019,201905,Substance use disorder,Emergency department,"13,226",2.8,
Florida,2019,201905,Substance use disorder,Inpatient,"12,259",2.6,
Florida,2019,201905,Substance use disorder,Intensive outpatient/Partial hospitalization,"21,146",4.5,
Florida,2019,201905,Substance use disorder,Outpatient,715,0.2,
Florida,2019,201905,Substance use disorder,Telehealth,88,0,
Florida,2019,201906,Mental health disorder,Emergency department,"10,525",2.2,
Florida,2019,201906,Mental health disorder,Inpatient,"11,003",2.3,
Florida,2019,201906,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,717",0.6,
Florida,2019,201906,Mental health disorder,Outpatient,"344,248",72.6,
Florida,2019,201906,Mental health disorder,Telehealth,79,0,
Florida,2019,201906,Substance use disorder,Emergency department,"13,297",2.8,
Florida,2019,201906,Substance use disorder,Inpatient,"11,641",2.5,
Florida,2019,201906,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,012",4.2,
Florida,2019,201906,Substance use disorder,Outpatient,703,0.1,
Florida,2019,201906,Substance use disorder,Telehealth,98,0,
Florida,2019,201907,Mental health disorder,Emergency department,"9,506",2,
Florida,2019,201907,Mental health disorder,Inpatient,"11,136",2.3,
Florida,2019,201907,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,485",0.5,
Florida,2019,201907,Mental health disorder,Outpatient,"385,227",81.3,
Florida,2019,201907,Mental health disorder,Telehealth,95,0,
Florida,2019,201907,Substance use disorder,Emergency department,"11,474",2.4,
Florida,2019,201907,Substance use disorder,Inpatient,"11,578",2.4,
Florida,2019,201907,Substance use disorder,Intensive outpatient/Partial hospitalization,"22,521",4.8,
Florida,2019,201907,Substance use disorder,Outpatient,805,0.2,
Florida,2019,201907,Substance use disorder,Telehealth,117,0,
Florida,2019,201908,Mental health disorder,Emergency department,"10,747",2.3,
Florida,2019,201908,Mental health disorder,Inpatient,"11,546",2.4,
Florida,2019,201908,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,160",0.5,
Florida,2019,201908,Mental health disorder,Outpatient,"390,145",82.4,
Florida,2019,201908,Mental health disorder,Telehealth,99,0,
Florida,2019,201908,Substance use disorder,Emergency department,"13,058",2.8,
Florida,2019,201908,Substance use disorder,Inpatient,"11,904",2.5,
Florida,2019,201908,Substance use disorder,Intensive outpatient/Partial hospitalization,"22,413",4.7,
Florida,2019,201908,Substance use disorder,Outpatient,758,0.2,
Florida,2019,201908,Substance use disorder,Telehealth,133,0,
Florida,2019,201909,Mental health disorder,Emergency department,"11,188",2.4,
Florida,2019,201909,Mental health disorder,Inpatient,"11,243",2.4,
Florida,2019,201909,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,174",0.5,
Florida,2019,201909,Mental health disorder,Outpatient,"385,695",81.6,
Florida,2019,201909,Mental health disorder,Telehealth,132,0,
Florida,2019,201909,Substance use disorder,Emergency department,"13,403",2.8,
Florida,2019,201909,Substance use disorder,Inpatient,"11,717",2.5,
Florida,2019,201909,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,304",4.3,
Florida,2019,201909,Substance use disorder,Outpatient,735,0.2,
Florida,2019,201909,Substance use disorder,Telehealth,124,0,
Florida,2019,201910,Mental health disorder,Emergency department,"11,310",2.4,
Florida,2019,201910,Mental health disorder,Inpatient,"11,728",2.5,
Florida,2019,201910,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,468",0.5,
Florida,2019,201910,Mental health disorder,Outpatient,"447,976",94.8,
Florida,2019,201910,Mental health disorder,Telehealth,121,0,
Florida,2019,201910,Substance use disorder,Emergency department,"13,200",2.8,
Florida,2019,201910,Substance use disorder,Inpatient,"12,047",2.6,
Florida,2019,201910,Substance use disorder,Intensive outpatient/Partial hospitalization,"22,951",4.9,
Florida,2019,201910,Substance use disorder,Outpatient,809,0.2,
Florida,2019,201910,Substance use disorder,Telehealth,117,0,
Florida,2019,201911,Mental health disorder,Emergency department,"9,716",2.1,
Florida,2019,201911,Mental health disorder,Inpatient,"10,594",2.2,
Florida,2019,201911,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,547",0.5,
Florida,2019,201911,Mental health disorder,Outpatient,"384,269",81.5,
Florida,2019,201911,Mental health disorder,Telehealth,117,0,
Florida,2019,201911,Substance use disorder,Emergency department,"12,055",2.6,
Florida,2019,201911,Substance use disorder,Inpatient,"11,253",2.4,
Florida,2019,201911,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,549",4.4,
Florida,2019,201911,Substance use disorder,Outpatient,707,0.2,
Florida,2019,201911,Substance use disorder,Telehealth,115,0,
Florida,2019,201912,Mental health disorder,Emergency department,"9,813",2.1,
Florida,2019,201912,Mental health disorder,Inpatient,"9,250",2,
Florida,2019,201912,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,532",0.5,
Florida,2019,201912,Mental health disorder,Outpatient,"378,908",80.5,
Florida,2019,201912,Mental health disorder,Telehealth,133,0,
Florida,2019,201912,Substance use disorder,Emergency department,"12,468",2.6,
Florida,2019,201912,Substance use disorder,Inpatient,"10,051",2.1,
Florida,2019,201912,Substance use disorder,Intensive outpatient/Partial hospitalization,"20,667",4.4,
Florida,2019,201912,Substance use disorder,Outpatient,760,0.2,
Florida,2019,201912,Substance use disorder,Telehealth,109,0,
Florida,2020,202001,Mental health disorder,Emergency department,"10,287",2.2,
Florida,2020,202001,Mental health disorder,Inpatient,"11,847",2.5,
Florida,2020,202001,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,888",0.6,
Florida,2020,202001,Mental health disorder,Outpatient,"436,939",92.6,
Florida,2020,202001,Mental health disorder,Telehealth,174,0,
Florida,2020,202001,Substance use disorder,Emergency department,"12,286",2.6,
Florida,2020,202001,Substance use disorder,Inpatient,"11,867",2.5,
Florida,2020,202001,Substance use disorder,Intensive outpatient/Partial hospitalization,"23,314",4.9,
Florida,2020,202001,Substance use disorder,Outpatient,875,0.2,
Florida,2020,202001,Substance use disorder,Telehealth,123,0,
Florida,2020,202002,Mental health disorder,Emergency department,"10,104",2.1,
Florida,2020,202002,Mental health disorder,Inpatient,"11,087",2.4,
Florida,2020,202002,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,096",0.7,
Florida,2020,202002,Mental health disorder,Outpatient,"414,693",88,
Florida,2020,202002,Mental health disorder,Telehealth,220,0,
Florida,2020,202002,Substance use disorder,Emergency department,"12,048",2.6,
Florida,2020,202002,Substance use disorder,Inpatient,"10,930",2.3,
Florida,2020,202002,Substance use disorder,Intensive outpatient/Partial hospitalization,"22,069",4.7,
Florida,2020,202002,Substance use disorder,Outpatient,760,0.2,
Florida,2020,202002,Substance use disorder,Telehealth,157,0,
Florida,2020,202003,Mental health disorder,Emergency department,"9,255",2,
Florida,2020,202003,Mental health disorder,Inpatient,"10,468",2.2,
Florida,2020,202003,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,126",0.7,
Florida,2020,202003,Mental health disorder,Outpatient,"334,085",71,
Florida,2020,202003,Mental health disorder,Telehealth,"3,120",0.7,
Florida,2020,202003,Substance use disorder,Emergency department,"12,175",2.6,
Florida,2020,202003,Substance use disorder,Inpatient,"10,813",2.3,
Florida,2020,202003,Substance use disorder,Intensive outpatient/Partial hospitalization,"18,652",4,
Florida,2020,202003,Substance use disorder,Outpatient,670,0.1,
Florida,2020,202003,Substance use disorder,Telehealth,"1,440",0.3,
Florida,2020,202004,Mental health disorder,Emergency department,"7,057",1.5,
Florida,2020,202004,Mental health disorder,Inpatient,"9,377",2,
Florida,2020,202004,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,799",0.6,
Florida,2020,202004,Mental health disorder,Outpatient,"158,590",33.4,
Florida,2020,202004,Mental health disorder,Telehealth,"13,225",2.8,
Florida,2020,202004,Substance use disorder,Emergency department,"8,011",1.7,
Florida,2020,202004,Substance use disorder,Inpatient,"9,369",2,
Florida,2020,202004,Substance use disorder,Intensive outpatient/Partial hospitalization,"12,493",2.6,
Florida,2020,202004,Substance use disorder,Outpatient,483,0.1,
Florida,2020,202004,Substance use disorder,Telehealth,"6,822",1.4,
Florida,2020,202005,Mental health disorder,Emergency department,"8,157",1.7,
Florida,2020,202005,Mental health disorder,Inpatient,"10,847",2.3,
Florida,2020,202005,Mental health disorder,Intensive outpatient/Partial hospitalization,"2,864",0.6,
Florida,2020,202005,Mental health disorder,Outpatient,"160,902",33.6,
Florida,2020,202005,Mental health disorder,Telehealth,"12,112",2.5,
Florida,2020,202005,Substance use disorder,Emergency department,"10,118",2.1,
Florida,2020,202005,Substance use disorder,Inpatient,"11,440",2.4,
Florida,2020,202005,Substance use disorder,Intensive outpatient/Partial hospitalization,"13,398",2.8,
Florida,2020,202005,Substance use disorder,Outpatient,597,0.1,
Florida,2020,202005,Substance use disorder,Telehealth,"6,446",1.3,
Florida,2020,202006,Mental health disorder,Emergency department,"9,544",2,
Florida,2020,202006,Mental health disorder,Inpatient,"11,523",2.4,
Florida,2020,202006,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,202",0.7,
Florida,2020,202006,Mental health disorder,Outpatient,"201,277",41.7,
Florida,2020,202006,Mental health disorder,Telehealth,"11,398",2.4,
Florida,2020,202006,Substance use disorder,Emergency department,"11,693",2.4,
Florida,2020,202006,Substance use disorder,Inpatient,"11,753",2.4,
Florida,2020,202006,Substance use disorder,Intensive outpatient/Partial hospitalization,"16,233",3.4,
Florida,2020,202006,Substance use disorder,Outpatient,648,0.1,
Florida,2020,202006,Substance use disorder,Telehealth,"6,419",1.3,
Florida,2020,202007,Mental health disorder,Emergency department,"8,272",1.7,
Florida,2020,202007,Mental health disorder,Inpatient,"12,028",2.5,
Florida,2020,202007,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,237",0.7,
Florida,2020,202007,Mental health disorder,Outpatient,"189,532",39,
Florida,2020,202007,Mental health disorder,Telehealth,"11,619",2.4,
Florida,2020,202007,Substance use disorder,Emergency department,"9,762",2,
Florida,2020,202007,Substance use disorder,Inpatient,"10,844",2.2,
Florida,2020,202007,Substance use disorder,Intensive outpatient/Partial hospitalization,"13,902",2.9,
Florida,2020,202007,Substance use disorder,Outpatient,586,0.1,
Florida,2020,202007,Substance use disorder,Telehealth,"6,590",1.4,
Florida,2020,202008,Mental health disorder,Emergency department,"9,985",2,
Florida,2020,202008,Mental health disorder,Inpatient,"11,831",2.4,
Florida,2020,202008,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,315",0.7,
Florida,2020,202008,Mental health disorder,Outpatient,"194,326",39.8,
Florida,2020,202008,Mental health disorder,Telehealth,"11,658",2.4,
Florida,2020,202008,Substance use disorder,Emergency department,"11,581",2.4,
Florida,2020,202008,Substance use disorder,Inpatient,"10,989",2.2,
Florida,2020,202008,Substance use disorder,Intensive outpatient/Partial hospitalization,"14,410",3,
Florida,2020,202008,Substance use disorder,Outpatient,685,0.1,
Florida,2020,202008,Substance use disorder,Telehealth,"6,850",1.4,
Florida,2020,202009,Mental health disorder,Emergency department,"10,999",2.2,
Florida,2020,202009,Mental health disorder,Inpatient,"11,886",2.4,
Florida,2020,202009,Mental health disorder,Intensive outpatient/Partial hospitalization,"3,482",0.7,
Florida,2020,202009,Mental health disorder,Outpatient,"216,915",44.1,
Florida,2020,202009,Mental health disorder,Telehealth,"12,019",2.4,
Florida,2020,202009,Substance use disorder,Emergency department,"11,971",2.4,
Florida,2020,202009,Substance use disorder,Inpatient,"11,252",2.3,
